dataset,window,start,end,total_pnl,sharpe,max_drawdown,max_drawdown_duration,trades,turnover,active_fraction,long_fraction,short_fraction,flat_fraction,average_abs_position,max_abs_position,hit_rate,profit_factor,time_under_water,underwater_fraction,average_drawdown,ulcer_index,drawdown_recovery_ratio
deterministic_synthetic_engineering_validation,0,0,63,-2.9741881544543842,-2.899739089113707,-2.9741881544543842,42,2,2.0,0.07936507936507936,0.0,0.07936507936507936,0.9206349206349206,0.07936507936507936,1.0,0.16666666666666666,0.09008723566431108,42,0.6666666666666666,-2.7205729696953065,2.2952009963602147,-1.0
deterministic_synthetic_engineering_validation,1,21,84,-3.3856597801747372,-2.847673189420143,-3.959922396529449,62,3,3.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,1.0,0.3,0.2184874831459584,62,0.9841269841269841,-2.869732568486203,2.8894353970805877,-0.8549813458824328
deterministic_synthetic_engineering_validation,2,42,105,3.6135455221529496,2.0408304507918005,-2.2616433875712536,7,1,1.0,0.3968253968253968,0.0,0.3968253968253968,0.6031746031746031,0.3968253968253968,1.0,0.6,1.7127634539812948,15,0.23809523809523808,-0.848771812522463,0.5308379052826805,1.597752122200611
deterministic_synthetic_engineering_validation,3,63,126,0.5141033206890216,0.21821025846151268,-3.416422795222274,17,2,2.0,0.6190476190476191,0.0,0.6190476190476191,0.38095238095238093,0.6190476190476191,1.0,0.525,1.0482124766232188,34,0.5396825396825397,-1.5546726006902176,1.4583049164407782,0.15048000540447565
deterministic_synthetic_engineering_validation,4,84,147,0.9255749464093755,0.40682085912224886,-3.416422795222274,38,1,1.0,0.5555555555555556,0.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,1.0,0.5277777777777778,1.0964165982940324,52,0.8253968253968254,-2.3664410782797725,2.4486071095889512,0.2709193217255645
deterministic_synthetic_engineering_validation,5,105,168,-5.244566078684082,-2.6403990164075988,-5.561546672442429,59,3,3.0,0.38095238095238093,0.0,0.38095238095238093,0.6190476190476191,0.38095238095238093,1.0,0.38461538461538464,0.4620098406001603,60,0.9523809523809523,-3.579633334319906,3.7400170449712493,-0.9430049566375139
deterministic_synthetic_engineering_validation,6,126,189,-4.585186103330488,-2.7397377767461117,-5.117691872890841,40,4,4.0,0.23809523809523808,0.07936507936507936,0.15873015873015872,0.7619047619047619,0.23809523809523808,1.0,0.29411764705882354,0.38321543650515094,41,0.6507936507936508,-2.9950867846283313,2.6579631556497896,-0.895948059635807
deterministic_synthetic_engineering_validation,7,147,210,-2.657452548763155,-1.3897317486212342,-5.79459164904527,61,5,5.0,0.3968253968253968,0.23809523809523808,0.15873015873015872,0.6031746031746031,0.3968253968253968,1.0,0.3333333333333333,0.6809232037052165,61,0.9682539682539683,-3.6682667255690324,3.8673756773435115,-0.45860911513945996
deterministic_synthetic_engineering_validation,8,168,231,0.019000534677592773,0.009543205151758584,-3.9539885931633063,55,3,3.0,0.5714285714285714,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,1.0,0.43243243243243246,1.00235117749759,56,0.8888888888888888,-2.1744041664866707,2.32756305591358,0.004805409583235998
deterministic_synthetic_engineering_validation,9,189,252,0.8038445149329216,0.43422043009576117,-2.4091524909093236,31,2,2.0,0.6349206349206349,0.6349206349206349,0.0,0.36507936507936506,0.6349206349206349,1.0,0.4634146341463415,1.1038695119822235,47,0.746031746031746,-1.1071468480688915,1.216180596651048,0.3336627789092397
deterministic_synthetic_engineering_validation,10,210,273,-3.5120761129062528,-1.7659611509031596,-4.797339564181164,52,3,3.0,0.5238095238095238,0.47619047619047616,0.047619047619047616,0.47619047619047616,0.5238095238095238,1.0,0.45714285714285713,0.6359028906045563,60,0.9523809523809523,-2.2673178341198503,2.718351048888123,-0.7320882889193009
deterministic_synthetic_engineering_validation,11,231,294,-4.043405319126847,-2.882467822008179,-4.2161523406551575,59,3,3.0,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.8095238095238095,0.19047619047619047,1.0,0.35714285714285715,0.2953705846948823,61,0.9682539682539683,-3.074299045886594,3.325180992485049,-0.959027329287284
deterministic_synthetic_engineering_validation,12,252,315,-5.660138833550467,-3.134151766411022,-6.071506455707597,57,6,6.0,0.23809523809523808,0.031746031746031744,0.20634920634920634,0.7619047619047619,0.23809523809523808,1.0,0.3888888888888889,0.309374895072447,58,0.9206349206349206,-3.09782784816553,3.0901507681536304,-0.9322462019668251
